id,name,state,acceptance_rate,avg_sat,avg_act,avg_gpa,tuition_in_state,tuition_out_state,room_board,total_cost_in_state,total_cost_out_state,campus_size,student_population,graduation_rate,retention_rate,selectivity_score,affordability_score,quality_score,top_majors,location_type,public_private,religious_affiliation,athletics_division
228,"University of California, Los Angeles (CO)",CO,0.583,1525,36,2.67,34322,18813,11398,45720,30211,Small,27532,0.621,0.796,0.632,0.428,0.678,"['Environmental Science', 'Physics', 'Computer Science']",Urban,Private,Protestant,NCAA Division II
229,University of Washington (MA),MA,0.739,1592,21,2.72,15848,73183,17506,33354,90689,Medium,37693,0.977,0.809,0.554,0.583,0.758,"['Nursing', 'History', 'English', 'Chemistry']",Urban,Private,Catholic,NCAA Division III
230,Dartmouth College,CO,0.127,1373,35,3.9,31554,60838,12816,44370,73654,Small,29268,0.961,0.834,0.867,0.445,0.885,"['Physics', 'Biology', 'Architecture', 'English', 'Environmental Science', 'Art']",Urban,Private,Other,NCAA Division II
231,Lehigh University,CO,0.788,1096,23,3.2,40075,16271,14209,54284,30480,Small,31867,0.608,0.792,0.401,0.321,0.58,"['Psychology', 'Business', 'Law', 'Nursing', 'Computer Science', 'Political Science', 'Engineering', 'Music']",Suburban,Private,Other,NAIA
232,University of Miami,PA,0.507,1342,33,3.05,42972,47147,9241,52213,56388,Medium,40913,0.842,0.733,0.631,0.347,0.725,"['Law', 'Environmental Science', 'English', 'Economics', 'Computer Science']",Urban,Public,Other,NCAA Division I
233,Yale University,AZ,0.749,1375,36,2.69,19266,59202,17683,36949,76885,Large,18289,0.687,0.783,0.495,0.538,0.639,"['Economics', 'Education', 'Law', 'Music', 'History', 'Computer Science', 'Psychology']",Rural,Public,Other,NCAA Division III
234,Purdue University,MN,0.914,1503,32,3.59,12215,17037,12474,24689,29511,Large,20357,0.628,0.709,0.427,0.691,0.572,"['Art', 'Business', 'Medicine', 'Political Science', 'Physics', 'Nursing', 'Chemistry', 'Architecture']",Suburban,Private,Jewish,None
235,University of Wisconsin,CT,0.355,1038,33,2.82,10923,30411,15008,25931,45419,Large,1321,0.713,0.829,0.647,0.676,0.721,"['Economics', 'Business', 'Biology', 'Nursing', 'Mathematics', 'Environmental Science', 'Physics']",Suburban,Public,Other,NAIA
236,Purdue University (TX),TX,0.605,1052,28,3.51,5760,26157,14990,20750,41147,Large,40975,0.776,0.818,0.5,0.741,0.678,"['Music', 'Chemistry', 'Economics']",Urban,Private,Other,NAIA
237,University of Washington,AZ,0.758,1239,30,3.72,59096,58867,10545,69641,69412,Large,39674,0.634,0.854,0.455,0.129,0.628,"['Nursing', 'Environmental Science', 'Mathematics', 'Computer Science', 'History', 'Chemistry']",Rural,Private,Protestant,NCAA Division I
238,University of Wisconsin (IA),IA,0.232,1452,23,3.08,55795,49922,9450,65245,59372,Large,34704,0.944,0.899,0.824,0.184,0.882,"['Psychology', 'Art', 'Physics', 'Computer Science', 'Economics', 'Nursing']",Rural,Public,Jewish,NAIA
239,Brown University (NY),NY,0.546,1338,36,3.91,25339,77761,9803,35142,87564,Medium,2409,0.634,0.732,0.607,0.561,0.653,"['Music', 'Environmental Science', 'English', 'Art', 'Physics', 'Computer Science', 'Business', 'Mathematics']",Urban,Public,Jewish,None
240,Brown University,TX,0.597,1447,36,3.67,7971,47363,18937,26908,66300,Medium,30935,0.776,0.778,0.604,0.664,0.708,"['Biology', 'Art', 'Physics', 'Mathematics', 'English']",Suburban,Private,Other,NAIA
241,Arizona State University (WI),WI,0.289,1107,26,3.52,11922,57614,19117,31039,76731,Large,46057,0.833,0.937,0.703,0.612,0.812,"['Music', 'English', 'Psychology', 'Chemistry', 'Nursing']",Urban,Public,Jewish,None
242,Brown University (NY),NY,0.315,1338,29,3.16,28985,57993,8560,37545,66553,Large,38849,0.73,0.937,0.745,0.531,0.798,"['Psychology', 'Biology', 'Architecture', 'Political Science', 'Medicine', 'Law', 'Nursing', 'Mathematics']",Rural,Public,Protestant,NCAA Division II
243,University of Chicago,CA,0.321,1234,26,3.25,32453,20836,9572,42025,30408,Large,31774,0.635,0.868,0.716,0.475,0.737,"['Biology', 'Art', 'Architecture', 'Medicine', 'Physics']",Rural,Public,Catholic,None
244,Penn State University,OH,0.549,1043,33,3.31,53011,24966,13825,66836,38791,Medium,9597,0.629,0.867,0.531,0.165,0.661,"['Law', 'Psychology', 'Education', 'Mathematics', 'Environmental Science']",Urban,Private,Other,None
245,Dartmouth College,MI,0.766,1188,25,2.51,17798,55210,9135,26933,64345,Medium,21982,0.617,0.821,0.437,0.663,0.606,"['Political Science', 'Nursing', 'Computer Science', 'Engineering', 'Environmental Science']",Suburban,Public,Other,NCAA Division I
246,Boston University (IN),IN,0.115,1048,19,3.13,7643,64536,13505,21148,78041,Large,30743,0.852,0.72,0.793,0.736,0.789,"['Music', 'Economics', 'Medicine', 'Nursing', 'Mathematics', 'Education']",Urban,Private,Catholic,None
247,Penn State University,MI,0.204,1344,27,2.8,53865,31615,10207,64072,41822,Large,15823,0.903,0.71,0.814,0.199,0.809,"['Music', 'Physics', 'Medicine', 'History', 'Education', 'Nursing', 'Art', 'Business']",Suburban,Public,None,NCAA Division III
248,Lehigh University (MN),MN,0.609,1428,36,3.05,7673,18970,17176,24849,36146,Medium,10983,0.849,0.869,0.592,0.689,0.752,"['Physics', 'Education', 'Political Science']",Rural,Public,Jewish,NCAA Division III
249,University of Rochester,CA,0.5,1572,35,3.38,19976,33907,14422,34398,48329,Medium,45091,0.61,0.813,0.693,0.57,0.704,"['Art', 'History', 'Physics', 'Political Science', 'Education']",Urban,Private,Other,NAIA
250,Duke University,CA,0.768,1210,26,3.82,50303,46722,13986,64289,60708,Medium,45021,0.604,0.87,0.442,0.196,0.619,"['Music', 'Engineering', 'Psychology', 'Physics']",Urban,Public,Protestant,NCAA Division I
251,Texas A&M University (NJ),NJ,0.126,1394,36,3.93,31097,33304,17564,48661,50868,Small,3486,0.619,0.96,0.873,0.392,0.823,"['Art', 'Chemistry', 'Law']",Urban,Private,None,NCAA Division I
252,"University of California, Irvine (OH)",OH,0.221,1102,30,2.53,22996,44873,9389,32385,54262,Medium,31977,0.866,0.885,0.743,0.595,0.822,"['Chemistry', 'Education', 'Nursing', 'Economics', 'English', 'Engineering']",Suburban,Public,Protestant,NCAA Division III
253,Northwestern University,MA,0.274,1269,21,3.0,9166,60250,14022,23188,74272,Small,42869,0.797,0.807,0.753,0.71,0.782,"['Education', 'Mathematics', 'Biology']",Rural,Private,Jewish,None
254,Boston College (CO),CO,0.243,1526,18,2.88,10885,32011,10801,21686,42812,Large,19317,0.619,0.734,0.836,0.729,0.74,"['English', 'Medicine', 'Art', 'Engineering', 'Nursing', 'Psychology', 'Architecture', 'Environmental Science']",Suburban,Private,None,NCAA Division I
255,Stanford University,WA,0.806,1411,30,2.59,26244,71862,8642,34886,80504,Small,20383,0.906,0.858,0.469,0.564,0.717,"['English', 'Environmental Science', 'Music', 'Business']",Suburban,Public,None,NCAA Division II
256,University of North Carolina,IL,0.477,1458,20,3.69,38528,39016,13808,52336,52824,Small,22644,0.751,0.807,0.678,0.346,0.739,"['Computer Science', 'Architecture', 'Chemistry', 'Political Science', 'English', 'Environmental Science']",Rural,Public,Jewish,NAIA
257,University of Arizona,OH,0.943,1423,21,3.82,33712,51082,12211,45923,63293,Small,17596,0.618,0.977,0.39,0.426,0.635,"['History', 'Engineering', 'Psychology']",Rural,Public,Other,NCAA Division II
258,University of Texas,IN,0.648,1042,33,3.47,34147,33630,18250,52397,51880,Large,43348,0.657,0.979,0.472,0.345,0.68,"['Physics', 'Mathematics', 'Environmental Science', 'Political Science', 'Art', 'Architecture', 'Economics']",Suburban,Private,None,NAIA
259,Indiana University (PA),PA,0.455,1585,27,2.88,15762,60083,15400,31162,75483,Small,15162,0.951,0.859,0.723,0.61,0.832,"['Business', 'Medicine', 'Architecture', 'Mathematics']",Suburban,Public,Protestant,None
260,Columbia University,IL,0.059,1242,20,2.94,47989,48816,10692,58681,59508,Large,3584,0.736,0.77,0.875,0.266,0.802,"['Chemistry', 'Art', 'History', 'Education', 'Environmental Science', 'Architecture', 'Psychology', 'English']",Urban,Public,Jewish,None
261,University of Oregon,WA,0.114,1448,19,2.76,38832,26324,14138,52970,40462,Large,49581,0.937,0.881,0.894,0.338,0.903,"['Education', 'Medicine', 'Engineering', 'Nursing', 'Physics']",Suburban,Private,Other,None
262,Northwestern University,OH,0.455,1098,18,3.23,55803,47864,12289,68092,60153,Large,28685,0.76,0.708,0.602,0.149,0.681,"['Environmental Science', 'Engineering', 'Law', 'History', 'Business', 'Political Science', 'Medicine']",Suburban,Public,Catholic,None
263,Indiana University,CT,0.745,1581,19,2.52,6415,33395,11103,17518,44498,Small,29415,0.818,0.779,0.549,0.781,0.698,"['Medicine', 'English', 'Chemistry', 'Nursing', 'Computer Science']",Suburban,Private,Jewish,NCAA Division I
264,Purdue University (OH),OH,0.156,1245,28,3.87,52180,24298,10802,62982,35100,Large,14493,0.749,0.76,0.818,0.213,0.78,"['Engineering', 'Architecture', 'Psychology', 'Mathematics']",Urban,Public,Jewish,None
265,Stanford University,IA,0.637,1552,35,2.73,19949,47290,9117,29066,56407,Small,8684,0.739,0.769,0.606,0.637,0.695,"['Computer Science', 'Political Science', 'History', 'Business', 'Education', 'Art', 'Chemistry']",Rural,Private,Protestant,NCAA Division I
266,University of Notre Dame,OR,0.487,1294,26,3.22,42486,18768,16149,58635,34917,Small,22285,0.61,0.7,0.631,0.267,0.646,"['Computer Science', 'Physics', 'Political Science']",Urban,Public,Protestant,NCAA Division II
267,Dartmouth College,CO,0.146,1328,21,3.52,36119,45579,11220,47339,56799,Medium,33897,0.621,0.919,0.845,0.408,0.8,"['Nursing', 'Physics', 'Business', 'Chemistry']",Urban,Public,Catholic,None
268,Duke University,CT,0.533,1181,22,2.92,34762,43817,13823,48585,57640,Small,45390,0.905,0.978,0.575,0.393,0.795,"['Art', 'Engineering', 'Psychology', 'Architecture', 'Physics']",Rural,Private,None,NCAA Division I
269,Tufts University,MN,0.56,1268,26,3.02,13990,24928,9060,23050,33988,Large,37605,0.721,0.767,0.581,0.712,0.679,"['Economics', 'Art', 'Physics']",Suburban,Private,Jewish,NCAA Division I
270,University of Texas,PA,0.322,1132,23,3.14,13499,79835,10672,24171,90507,Small,10958,0.873,0.967,0.69,0.698,0.828,"['Mathematics', 'Political Science', 'Medicine', 'Music', 'English', 'Nursing', 'Business']",Rural,Private,Jewish,NCAA Division II
271,University of Michigan (OR),OR,0.655,1345,23,2.67,36221,25599,8719,44940,34318,Small,28956,0.979,0.897,0.543,0.438,0.78,"['Mathematics', 'Law', 'Biology', 'Nursing', 'Psychology']",Urban,Private,Jewish,NCAA Division III
272,University of Colorado,CA,0.495,1409,22,3.2,22851,77578,10112,32963,87690,Large,22018,0.806,0.744,0.655,0.588,0.727,"['History', 'Mathematics', 'Chemistry', 'Environmental Science', 'Medicine', 'Political Science', 'Music', 'Computer Science']",Suburban,Private,Catholic,None
273,University of Iowa (MN),MN,0.65,1237,31,2.8,18461,27445,16370,34831,43815,Small,46755,0.824,0.964,0.519,0.565,0.744,"['Computer Science', 'Business', 'Education', 'Physics']",Rural,Private,None,NAIA
274,Vanderbilt University,TX,0.762,1450,23,3.62,5781,43451,14906,20687,58357,Large,45960,0.844,0.797,0.506,0.741,0.695,"['Political Science', 'English', 'Mathematics', 'Art', 'Music', 'Medicine', 'Architecture', 'Computer Science']",Urban,Public,Protestant,None
275,Northwestern University (OH),OH,0.799,1557,36,3.77,46486,50825,17280,63766,68105,Small,36633,0.724,0.917,0.51,0.203,0.696,"['Music', 'Medicine', 'Physics', 'Political Science', 'Computer Science']",Rural,Private,Jewish,NCAA Division III
276,Washington University in St. Louis,CT,0.7,1285,21,3.72,21313,56842,13920,35233,70762,Small,15382,0.937,0.951,0.502,0.56,0.767,"['Education', 'Political Science', 'Art', 'Physics', 'Computer Science', 'Economics']",Suburban,Private,None,NCAA Division II
277,MIT (NJ),NJ,0.651,1043,34,3.12,36399,46883,14874,51273,61757,Large,15933,0.694,0.879,0.47,0.359,0.66,"['Economics', 'Computer Science', 'Architecture', 'Medicine', 'Education', 'Law', 'Political Science']",Urban,Public,Jewish,NAIA
278,University of Pennsylvania,IN,0.205,1205,28,2.65,22561,55526,11192,33753,66718,Small,40916,0.776,0.955,0.778,0.578,0.831,"['Environmental Science', 'English', 'Music', 'Engineering', 'Economics', 'History', 'Psychology', 'Chemistry']",Suburban,Private,Jewish,NCAA Division III
279,University of Colorado (MI),MI,0.823,1315,32,3.8,19621,76572,16550,36171,93122,Large,27275,0.822,0.762,0.435,0.548,0.649,"['Physics', 'Political Science', 'Engineering', 'Art', 'Nursing', 'Music', 'Biology', 'Medicine']",Rural,Private,Catholic,None
280,Indiana University,NJ,0.261,1545,34,2.56,22723,60952,19658,42381,80610,Large,29588,0.9,0.967,0.83,0.47,0.892,"['Biology', 'Mathematics', 'Medicine', 'English', 'Education', 'Engineering', 'Nursing', 'Psychology']",Suburban,Private,Protestant,NAIA
281,Emory University,IL,0.771,1026,27,3.71,25739,39727,10733,36472,50460,Medium,13872,0.601,0.748,0.394,0.544,0.562,"['Medicine', 'Political Science', 'Art', 'Psychology', 'Law', 'Physics']",Urban,Public,None,None
282,University of Texas,WI,0.79,1581,35,3.53,57937,78507,16145,74082,94652,Large,14788,0.923,0.937,0.521,0.074,0.766,"['Architecture', 'Physics', 'Law', 'Engineering', 'History', 'English']",Rural,Private,Catholic,None
283,Yale University,AZ,0.634,1185,24,3.67,21517,69890,15543,37060,85433,Small,25138,0.845,0.952,0.516,0.537,0.746,"['Environmental Science', 'Political Science', 'Chemistry', 'Psychology']",Suburban,Private,Jewish,NCAA Division II
284,Emory University,WA,0.634,1523,31,2.93,32435,44539,15574,48009,60113,Medium,1154,0.627,0.844,0.601,0.4,0.682,"['Education', 'Environmental Science', 'Computer Science']",Rural,Private,Other,NCAA Division I
285,Stanford University,NY,0.363,1042,29,2.79,42611,22281,8940,51551,31221,Small,12706,0.833,0.825,0.643,0.356,0.754,"['Education', 'Business', 'Engineering', 'Biology']",Suburban,Public,Catholic,NCAA Division II
286,Penn State University,IL,0.699,1547,21,3.51,26317,50642,16791,43108,67433,Small,22814,0.619,0.78,0.567,0.461,0.647,"['Computer Science', 'Engineering', 'Architecture', 'Music', 'English', 'Biology']",Rural,Private,Other,NCAA Division III
287,University of Michigan,OH,0.832,1400,18,2.76,47722,32581,13450,61172,46031,Medium,45594,0.647,0.728,0.451,0.235,0.593,"['Physics', 'Computer Science', 'Chemistry', 'Art', 'Business', 'Architecture', 'Environmental Science']",Suburban,Private,Jewish,NCAA Division I
288,University of Michigan,CA,0.322,1526,27,3.23,17896,73289,11969,29865,85258,Medium,33376,0.796,0.753,0.788,0.627,0.78,"['Nursing', 'Chemistry', 'Engineering', 'English', 'Music', 'Computer Science']",Rural,Public,Protestant,None
289,Indiana University,WI,0.053,1258,22,2.99,48245,35516,14728,62973,50244,Medium,47768,0.765,0.81,0.882,0.213,0.826,"['Mathematics', 'Nursing', 'Education', 'Political Science', 'Architecture']",Urban,Public,None,NCAA Division III
290,Duke University (PA),PA,0.809,1345,22,2.85,35248,65554,10306,45554,75860,Medium,39041,0.952,0.723,0.451,0.431,0.683,"['Architecture', 'Chemistry', 'Computer Science', 'Music', 'Biology', 'Environmental Science']",Rural,Private,Catholic,NCAA Division III
291,University of Colorado,IA,0.95,1495,25,2.8,15867,15524,9365,25232,24889,Medium,19377,0.673,0.725,0.404,0.685,0.581,"['English', 'Music', 'Art', 'Political Science']",Rural,Private,Jewish,NCAA Division I
292,Tufts University,OR,0.71,1002,20,2.84,21727,35367,16947,38674,52314,Medium,31119,0.899,0.905,0.425,0.517,0.711,"['Environmental Science', 'History', 'Biology', 'Medicine', 'English', 'Law', 'Physics', 'Business']",Rural,Public,None,NCAA Division I
293,University of Oregon,CT,0.14,1433,28,3.2,36951,56672,10668,47619,67340,Medium,8454,0.857,0.751,0.874,0.405,0.832,"['Law', 'Architecture', 'Psychology', 'Nursing', 'Business', 'Computer Science', 'Art']",Urban,Public,Jewish,None
294,Wake Forest University,CA,0.731,1374,27,3.86,12780,40067,15569,28349,55636,Medium,21475,0.713,0.879,0.505,0.646,0.679,"['Chemistry', 'Music', 'Physics', 'Education', 'Computer Science', 'Psychology']",Suburban,Private,Protestant,NCAA Division III
295,Columbia University (IL),IL,0.36,1055,36,3.15,21406,43864,12202,33608,56066,Large,13452,0.692,0.954,0.648,0.58,0.753,"['Engineering', 'Art', 'Environmental Science']",Rural,Public,Protestant,NCAA Division II
296,"University of California, Davis",PA,0.424,1289,21,2.93,12442,40766,8888,21330,49654,Medium,6655,0.72,0.942,0.668,0.733,0.766,"['Computer Science', 'Engineering', 'Architecture', 'Business', 'Law', 'Economics', 'History', 'Education']",Suburban,Public,Jewish,NAIA
297,Arizona State University,IA,0.06,1127,21,3.02,14296,49571,15264,29560,64835,Medium,9006,0.727,0.833,0.846,0.631,0.806,"['Computer Science', 'Nursing', 'Environmental Science', 'Chemistry', 'Education', 'Music']",Urban,Private,Catholic,NCAA Division III
298,Villanova University,OH,0.68,1037,35,2.94,42323,53880,15418,57741,69298,Medium,20976,0.647,0.79,0.451,0.278,0.611,"['Economics', 'Nursing', 'Environmental Science', 'Education', 'Biology', 'Psychology']",Urban,Private,None,NCAA Division III
299,MIT (MN),MN,0.587,1343,22,2.63,17290,16394,11561,28851,27955,Medium,46768,0.82,0.891,0.584,0.639,0.747,"['Law', 'Biology', 'Music', 'Environmental Science', 'Education', 'English']",Suburban,Public,Other,NCAA Division II
300,University of Washington (TX),TX,0.159,1122,18,2.79,42299,64078,8539,50838,72617,Large,33242,0.88,0.916,0.785,0.365,0.853,"['Music', 'Chemistry', 'Computer Science', 'History', 'Nursing', 'Art']",Urban,Private,Catholic,NAIA
301,Dartmouth College,OH,0.648,1506,32,3.01,43713,62821,11240,54953,74061,Small,12110,0.761,0.928,0.588,0.313,0.742,"['Architecture', 'Computer Science', 'Business', 'Nursing']",Rural,Private,Protestant,NAIA
302,Georgetown University,PA,0.441,1534,26,3.23,31131,60811,12334,43465,73145,Large,6251,0.731,0.851,0.719,0.457,0.762,"['Environmental Science', 'Law', 'Economics']",Suburban,Public,Other,NCAA Division II
303,University of Washington,MI,0.167,1113,30,3.04,34422,50871,12877,47299,63748,Small,27374,0.676,0.771,0.778,0.409,0.745,"['Education', 'Environmental Science', 'Political Science', 'Law', 'History', 'Music', 'Business']",Suburban,Public,Protestant,NAIA
304,University of Arizona (TX),TX,0.436,1447,25,2.68,15388,24730,14028,29416,38758,Medium,18676,0.602,0.909,0.7,0.632,0.733,"['Economics', 'Mathematics', 'Psychology', 'Environmental Science', 'Political Science', 'Nursing', 'Engineering', 'Art']",Suburban,Public,Other,NCAA Division III
305,Penn State University,IL,0.659,1490,18,2.84,57987,36639,19215,77202,55854,Large,46518,0.734,0.961,0.577,0.035,0.739,"['Music', 'Computer Science', 'Biology', 'Business', 'Chemistry']",Urban,Public,None,NCAA Division I
306,Penn State University,WA,0.843,1400,18,2.81,42489,44237,18406,60895,62643,Medium,34426,0.73,0.801,0.444,0.239,0.637,"['Art', 'Medicine', 'Architecture', 'Music']",Rural,Public,None,NCAA Division III
307,University of Iowa,IN,0.703,1511,35,3.92,28835,55585,17120,45955,72705,Medium,5266,0.684,0.931,0.556,0.426,0.707,"['Environmental Science', 'Physics', 'Law', 'Medicine', 'Psychology', 'Engineering']",Rural,Private,None,NCAA Division II
308,University of Michigan,PA,0.204,1551,33,2.84,32204,38641,17195,49399,55836,Medium,1324,0.808,0.979,0.865,0.383,0.882,"['History', 'Music', 'Architecture', 'Computer Science', 'Mathematics', 'English']",Suburban,Public,Other,NAIA
309,University of Notre Dame,OR,0.788,1098,18,3.94,34712,71477,10075,44787,81552,Medium,30321,0.729,0.719,0.402,0.44,0.595,"['Political Science', 'Chemistry', 'Computer Science', 'Psychology', 'Environmental Science']",Suburban,Private,None,NCAA Division I
310,University of Michigan,WI,0.693,1251,32,3.7,16773,19510,16161,32934,35671,Large,20521,0.617,0.853,0.497,0.588,0.64,"['Environmental Science', 'Medicine', 'Business', 'Computer Science', 'English', 'Law']",Suburban,Public,Jewish,NCAA Division III
311,Southern Methodist University,OH,0.886,1518,23,2.58,5445,45951,9105,14550,55056,Large,31312,0.97,0.842,0.448,0.818,0.723,"['Law', 'Engineering', 'Physics', 'Political Science', 'Music']",Suburban,Public,None,NCAA Division I
312,University of Wisconsin,IL,0.258,1451,30,3.21,32320,53912,18857,51177,72769,Small,47479,0.631,0.803,0.808,0.36,0.754,"['Art', 'Mathematics', 'Nursing', 'English', 'Computer Science']",Rural,Private,Jewish,NCAA Division III
313,University of Pennsylvania (OR),OR,0.345,1506,25,3.38,24286,46035,17011,41297,63046,Medium,28979,0.704,0.791,0.769,0.484,0.756,"['Computer Science', 'Biology', 'Psychology']",Rural,Private,Other,NAIA
314,Baylor University,TX,0.935,1194,21,3.23,21331,38562,14074,35405,52636,Small,44861,0.617,0.758,0.338,0.557,0.548,"['Nursing', 'Medicine', 'Economics', 'Education']",Suburban,Private,Other,NCAA Division III
315,University of Arizona,TX,0.107,1467,35,3.31,36818,32079,15215,52033,47294,Medium,38712,0.862,0.932,0.903,0.35,0.899,"['Biology', 'Physics', 'Psychology', 'Music']",Urban,Private,Other,None
316,Cornell University (NY),NY,0.801,1462,36,2.93,28321,63514,9205,37526,72719,Large,30989,0.653,0.758,0.485,0.531,0.617,"['Mathematics', 'Chemistry', 'Economics', 'Architecture', 'Art', 'Music', 'Computer Science', 'Political Science']",Suburban,Public,Jewish,NAIA
317,Purdue University,OR,0.112,1097,19,2.55,28515,21987,13371,41886,35358,Large,5422,0.702,0.937,0.807,0.476,0.815,"['Political Science', 'Law', 'Psychology', 'Environmental Science', 'History', 'Nursing']",Rural,Public,Other,NCAA Division III
318,University of Pittsburgh (NJ),NJ,0.887,1458,32,2.79,30439,53849,10784,41223,64633,Large,7645,0.723,0.827,0.433,0.485,0.638,"['History', 'Engineering', 'Architecture', 'Music']",Suburban,Public,None,NCAA Division II
319,Ohio State University,OH,0.863,1404,18,2.53,22044,37929,15326,37370,53255,Large,39857,0.791,0.941,0.433,0.533,0.693,"['Physics', 'Architecture', 'Computer Science', 'English', 'Political Science', 'Education', 'Mathematics']",Rural,Public,Other,NCAA Division I
320,Baylor University (NJ),NJ,0.077,1250,22,2.57,37851,19936,11701,49552,31637,Large,48552,0.979,0.962,0.866,0.381,0.929,"['Biology', 'Political Science', 'Law', 'Physics', 'Economics', 'Medicine']",Rural,Public,Other,NCAA Division III
321,University of Minnesota (MN),MN,0.346,1505,20,2.83,39360,65676,16667,56027,82343,Medium,12957,0.625,0.965,0.769,0.3,0.785,"['English', 'Biology', 'Engineering', 'Art']",Rural,Public,Jewish,NAIA
322,Northeastern University,TX,0.834,1398,33,2.87,42130,63969,13498,55628,77467,Medium,45154,0.658,0.883,0.449,0.305,0.642,"['Economics', 'Psychology', 'Engineering', 'Mathematics', 'Business', 'Biology']",Suburban,Private,Other,NAIA
323,Indiana University (IL),IL,0.341,1544,25,2.88,56752,18817,12274,69026,31091,Small,4610,0.641,0.757,0.782,0.137,0.732,"['Psychology', 'History', 'Law', 'Biology', 'Music', 'Environmental Science', 'Architecture', 'Art']",Urban,Public,Other,NAIA
324,University of Pittsburgh (CA),CA,0.182,1061,20,3.6,11246,62738,19033,30279,81771,Small,2212,0.85,0.924,0.756,0.622,0.834,"['History', 'Medicine', 'Psychology']",Rural,Public,Jewish,None
325,"University of California, Berkeley",IN,0.086,1295,19,3.08,7546,51820,17164,24710,68984,Large,37045,0.675,0.771,0.872,0.691,0.783,"['Business', 'Psychology', 'Medicine']",Urban,Private,Catholic,NCAA Division I
326,University of Arizona (PA),PA,0.8,1001,29,2.7,29568,64609,9217,38785,73826,Large,43831,0.81,0.784,0.37,0.515,0.626,"['Music', 'Art', 'Architecture', 'Nursing']",Suburban,Public,None,None
327,Stanford University,OH,0.491,1215,30,3.46,49157,64052,8526,57683,72578,Medium,47658,0.858,0.764,0.609,0.279,0.73,"['Education', 'Business', 'Economics', 'Computer Science']",Urban,Private,None,NAIA
328,University of Illinois (WI),WI,0.949,1240,31,3.43,8424,65515,15284,23708,80799,Small,4524,0.924,0.749,0.341,0.704,0.638,"['Physics', 'Chemistry', 'Education', 'Environmental Science', 'Psychology', 'Music', 'Political Science', 'Business']",Rural,Private,None,NCAA Division II
329,"University of California, Berkeley",MI,0.878,1442,26,3.11,33413,27553,17907,51320,45460,Large,4368,0.831,0.949,0.433,0.359,0.707,"['English', 'Political Science', 'Chemistry', 'Architecture', 'Education']",Suburban,Private,None,NAIA
330,Texas A&M University,WA,0.911,1157,32,2.74,46664,58636,13910,60574,72546,Small,13677,0.767,0.813,0.343,0.243,0.611,"['Chemistry', 'Nursing', 'Physics', 'Business', 'Mathematics', 'Environmental Science', 'Art']",Urban,Private,Catholic,NAIA
331,University of Arizona,CO,0.44,1341,32,3.84,53752,52440,9551,63303,61991,Medium,32097,0.916,0.855,0.671,0.209,0.8,"['Psychology', 'History', 'Education', 'Business', 'Nursing', 'English', 'Engineering']",Urban,Public,None,NCAA Division III
332,Brandeis University,CO,0.544,1276,19,3.12,53789,62335,9853,63642,72188,Medium,33791,0.76,0.711,0.593,0.204,0.678,"['Business', 'Political Science', 'Biology', 'Psychology', 'Education', 'Law', 'English']",Suburban,Public,None,NCAA Division II
333,University of Arizona,WI,0.467,1334,35,3.17,28016,70834,19704,47720,90538,Medium,1016,0.833,0.964,0.653,0.403,0.8,"['Music', 'Nursing', 'Computer Science', 'English', 'Physics']",Suburban,Private,Jewish,NCAA Division II
334,"University of California, Davis (CT)",CT,0.232,1456,24,2.55,37232,42463,18575,55807,61038,Small,36973,0.912,0.8,0.825,0.302,0.844,"['Art', 'Economics', 'Medicine']",Rural,Public,Other,None
335,Arizona State University,WI,0.909,1525,29,3.96,51509,46102,19975,71484,66077,Large,31515,0.868,0.749,0.436,0.106,0.659,"['Business', 'Biology', 'English']",Urban,Private,Other,None
336,University of Arizona (WI),WI,0.271,1429,20,2.98,31512,51670,19255,50767,70925,Medium,23465,0.876,0.908,0.795,0.365,0.853,"['Music', 'Medicine', 'Nursing', 'Psychology', 'Political Science', 'Art', 'Computer Science', 'Biology']",Urban,Private,Jewish,NCAA Division I
337,Princeton University,IA,0.211,1160,27,3.27,42078,79789,8411,50489,88200,Small,1152,0.918,0.807,0.764,0.369,0.823,"['Computer Science', 'Art', 'Political Science', 'History', 'Psychology', 'Architecture', 'Music']",Suburban,Private,Other,NAIA
338,University of Arizona,MI,0.835,1182,31,2.83,13025,63655,9401,22426,73056,Medium,36143,0.766,0.871,0.395,0.72,0.649,"['Law', 'Education', 'Computer Science']",Urban,Public,Catholic,NAIA
339,University of Notre Dame,IL,0.296,1429,35,3.64,39092,41206,13116,52208,54322,Medium,21446,0.88,0.931,0.779,0.347,0.855,"['Education', 'Music', 'Engineering', 'Chemistry']",Suburban,Public,Protestant,NCAA Division I
340,Georgetown University,CO,0.394,1461,21,3.04,7549,38111,14683,22232,52794,Small,34754,0.616,0.851,0.729,0.722,0.732,"['Chemistry', 'Business', 'History', 'Biology', 'Political Science']",Suburban,Private,Jewish,NCAA Division I
341,Syracuse University,IN,0.247,1525,27,2.99,7058,49542,10371,17429,59913,Medium,35370,0.624,0.904,0.833,0.782,0.792,"['Engineering', 'English', 'Architecture', 'Nursing', 'Law']",Suburban,Public,Protestant,NCAA Division III
